WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples
\SFX\chrono_legionnaire_sticky_bomb_end.wav	0xFFFE	2	0x00000003	96000	576000	6	24	260160
\SFX\chrono_legionnaire_sticky_bomb_loop.wav	0xFFFE	2	0x00000003	96000	576000	6	24	415296
\SFX\chrono_legionnaire_sticky_bomb_start.wav	0xFFFE	2	0x00000003	96000	576000	6	24	188928
\SFX\chrono_legionnaire_teleport-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	418341
\SFX\chrono_legionnaire_teleport-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	326176
\SFX\chrono_legionnaire_teleport-003.wav	0xFFFE	2	0x00000003	96000	576000	6	24	320652
\SFX\chrono_legionnaire_teleport-004.wav	0xFFFE	2	0x00000003	96000	576000	6	24	400174
\SFX\GGIBarricade.wav	0xFFFE	1	0x00000004	22050	44100	2	16	15568
\SFX\GGIMissile2.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24128
\SFX\GGIMissle1.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22919
\SFX\giBarricade1.wav	0xFFFE	1	0x00000004	22050	44100	2	16	10963
\SFX\giBarricade2.wav	0xFFFE	1	0x00000004	22050	44100	2	16	9009
\SFX\giShoot2Single.wav	0xFFFE	1	0x00000004	22050	44100	2	16	9202
\SFX\giShootSingle.wav	0xFFFE	1	0x00000004	22050	44100	2	16	7232
\SFX\ichrata.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22126
\SFX\ichratb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	32945
\SFX\ichratc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34578
\SFX\ichratd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24224
\SFX\ichrsea.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25922
\SFX\ichrseb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28276
\SFX\ichrsec.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19484
\SFX\ichrsed.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18242
\SFX\ichrsee.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19436
\SFX\idesat1a_attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25874
\SFX\idesat1a_attack_deep.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22876
\SFX\idesat1a_attack_deep_short.wav	0xFFFE	1	0x00000004	22050	44100	2	16	29812
\SFX\idesat1a_attack_short.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22566
\SFX\idesat1a_attack_short2.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19637
\SFX\idesat1a_attack_short3.wav	0xFFFE	1	0x00000004	22050	44100	2	16	15951
\SFX\idesat1a_attack_short4.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16082
\SFX\idesat2a_deploy.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31712
\SFX\idesat2a_deploy_high.wav	0xFFFE	1	0x00000004	22050	44100	2	16	30572
\SFX\idesata.wav	0xFFFE	1	0x00000004	22050	44100	2	16	37621
\SFX\idesatb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34394
\SFX\idesatc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31191
\SFX\idesatd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	35499
\SFX\idesate.wav	0xFFFE	1	0x00000004	22050	44100	2	16	38382
\SFX\idesatf.wav	0xFFFE	1	0x00000004	22050	44100	2	16	51803
\SFX\idesmoa.wav	0xFFFE	1	0x00000004	22050	44100	2	16	39471
\SFX\idesmob.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33690
\SFX\idesmoc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	42714
\SFX\idesmod.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34578
\SFX\idesmoe.wav	0xFFFE	1	0x00000004	22050	44100	2	16	54078
\SFX\idessea.wav	0xFFFE	1	0x00000004	22050	44100	2	16	32240
\SFX\idesseb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	58906
\SFX\idessec.wav	0xFFFE	1	0x00000004	22050	44100	2	16	49145
\SFX\idessed.wav	0xFFFE	1	0x00000004	22050	44100	2	16	35059
\SFX\idessee.wav	0xFFFE	1	0x00000004	22050	44100	2	16	37982
\SFX\igiata.wav	0xFFFE	1	0x00000004	22050	44100	2	16	11876
\SFX\igiatb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	13173
\SFX\igiatc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18835
\SFX\igiatd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	15680
\SFX\igiate.wav	0xFFFE	1	0x00000004	22050	44100	2	16	17177
\SFX\igiatf.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19796
\SFX\igimoa.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16593
\SFX\igimob.wav	0xFFFE	1	0x00000004	22050	44100	2	16	7736
\SFX\igimoc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	17249
\SFX\igimod.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16377
\SFX\igimoe.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18355
\SFX\igimof.wav	0xFFFE	1	0x00000004	22050	44100	2	16	13221
\SFX\igisea.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18202
\SFX\igiseb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	7376
\SFX\igisec.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22727
\SFX\igised.wav	0xFFFE	1	0x00000004	22050	44100	2	16	9218
\SFX\igisee.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22447
\SFX\igisef.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16993
\SFX\itesata.wav	0xFFFE	1	0x00000004	22050	44100	2	16	46710
\SFX\itesata_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	46710
\SFX\itesatb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	26266
\SFX\itesatb_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	26266
\SFX\itesatc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	29918
\SFX\itesatc_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	29918
\SFX\itesatd.wav	0xFFFE	1	0x00000004	22050	44100	2	16	41561
\SFX\itesatd_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	41561
\SFX\itesate.wav	0xFFFE	1	0x00000004	22050	44100	2	16	50106
\SFX\itesate_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	50106
\SFX\itesatta.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22975
\SFX\itesatta_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	21686
\SFX\itesatta_02.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25876
\SFX\iteschaa.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19003
\SFX\iteschaa_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19003
\SFX\itesdia.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19604
\SFX\itesdia_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	19604
\SFX\itesdib.wav	0xFFFE	1	0x00000004	22050	44100	2	16	8977
\SFX\itesdib_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	8977
\SFX\itesdic.wav	0xFFFE	1	0x00000004	22050	44100	2	16	15768
\SFX\itesdic_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	15768
\SFX\itesdid.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16313
\SFX\itesdid_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	16313
\SFX\itesfea.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34194
\SFX\itesfea_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	34194
\SFX\itesfeb.wav	0xFFFE	1	0x00000004	22050	44100	2	16	30486
\SFX\itesfeb_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	30486
\SFX\itesfec.wav	0xFFFE	1	0x00000004	22050	44100	2	16	20148
\SFX\itesfec_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	20148
\SFX\itesmoa.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24729
\SFX\itesmoa_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24729
\SFX\itesmob.wav	0xFFFE	1	0x00000004	22050	44100	2	16	21686
\SFX\itesmob_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	21686
\SFX\itesmoc.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25385
\SFX\itesmoc_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25385
\SFX\itesmod.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28637
\SFX\itesmod_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28637
\SFX\itesmoe.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33682
\SFX\itesmoe_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33682
\SFX\itesmof.wav	0xFFFE	1	0x00000004	22050	44100	2	16	37101
\SFX\itesmof_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	37101
\SFX\itessea.wav	0xFFFE	1	0x00000004	22050	44100	2	16	26995
\SFX\itessea_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	26995
\SFX\itessec.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18154
\SFX\itessec_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18154
\SFX\itessed.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28340
\SFX\itessed_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28340
\SFX\itessee.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22198
\SFX\itessee_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	22198
\SFX\IvanBombLoop.wav	0xFFFE	1	0x00000004	22050	44100	2	16	8303
\SFX\IvanBombStart.wav	0xFFFE	1	0x00000004	22050	44100	2	16	9282
\SFX\PatriotMissile.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23063
\SFX\PatriotMissileInstant.wav	0xFFFE	1	0x00000004	22050	88200	4	32	22360
\SFX\prism_bpriat1a prism tower attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	35852
\SFX\prism_bpriat1a prism tower attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	35852
\SFX\prism_bpripow prism tower prep.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18114
\SFX\prism_bpripow prism tower prep_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	18114
\SFX\prism_vpriatta prism tank attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25017
\SFX\prism_vpriatta prism tank attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	25017
\SFX\PunchWoosh.wav	0xFFFE	1	0x00000004	44100	176400	4	32	33440
\SFX\PunchWoosh2.wav	0xFFFE	1	0x00000004	44100	176400	4	32	40866
\SFX\tank_vtesatta tesla tank attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	27299
\SFX\tank_vtesatta tesla tank attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	27299
\SFX\tank_vtesattb tesla tank attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31071
\SFX\tank_vtesattb tesla tank attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	31071
\SFX\TeslaChargingComplete.wav	0xFFFE	2	0x00000003	96000	768000	8	32	106759
\SFX\TeslaChargingLoop.wav	0xFFFE	2	0x00000003	96000	768000	8	32	258246
\SFX\TeslaChargingUp.wav	0xFFFE	2	0x00000003	96000	768000	8	32	554733
\SFX\tether_vanish.wav	0xFFFE	2	0x00000003	96000	576000	6	24	292800
\SFX\thether_loop-001.wav	0xFFFE	2	0x00000003	96000	576000	6	24	402284
\SFX\thether_loop-002.wav	0xFFFE	2	0x00000003	96000	576000	6	24	368088
\SFX\tower_bparatta they fucking turned eiffel tower to a tesla tower.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23624
\SFX\tower_bparatta they fucking turned eiffel tower to a tesla tower_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23624
\SFX\tower_btesat1a tesla tower attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	27828
\SFX\tower_btesat1a tesla tower attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	27828
\SFX\tower_btesat2a tesla tower attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33481
\SFX\tower_btesat2a tesla tower attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	33481
\SFX\tower_btespow tesla tower prep.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23528
\SFX\tower_btespow tesla tower prep_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	23528
\SFX\trooper_itesat2a tesla trooper attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28885
\SFX\trooper_itesat2a tesla trooper attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	28885
\SFX\trooper_itesat2b tesla trooper attack.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24024
\SFX\trooper_itesat2b tesla trooper attack_01.wav	0xFFFE	1	0x00000004	22050	44100	2	16	24024
